section_id,division,window_date,day_of_week,window_start_hour,available_duration_hours,surrounding_traffic_load
SEC-01,Ambala,2026-08-29,Saturday,23,2.0,Low
SEC-03,Delhi,2026-08-29,Saturday,0,2.1,Low
SEC-04,Delhi,2026-08-29,Saturday,0,5.6,Low
SEC-04,Delhi,2026-08-29,Saturday,2,5.2,Low
SEC-05,Moradabad,2026-08-29,Saturday,23,1.6,Low
SEC-06,Moradabad,2026-08-29,Saturday,1,3.3,Low
SEC-06,Moradabad,2026-08-29,Saturday,23,5.9,Low
SEC-08,Firozpur,2026-08-29,Saturday,21,4.8,Medium
SEC-01,Ambala,2026-08-30,Sunday,22,2.7,Low
SEC-02,Ambala,2026-08-30,Sunday,1,2.2,Medium
SEC-04,Delhi,2026-08-30,Sunday,2,2.8,Low
SEC-05,Moradabad,2026-08-30,Sunday,23,2.6,Low
SEC-06,Moradabad,2026-08-30,Sunday,0,4.5,Low
SEC-07,Firozpur,2026-08-30,Sunday,22,2.1,Low
SEC-01,Ambala,2026-08-31,Monday,23,3.4,Low
SEC-02,Ambala,2026-08-31,Monday,22,2.7,Low
SEC-03,Delhi,2026-08-31,Monday,22,3.4,Medium
SEC-04,Delhi,2026-08-31,Monday,21,2.1,High
SEC-05,Moradabad,2026-08-31,Monday,22,3.2,Low
SEC-06,Moradabad,2026-08-31,Monday,0,2.3,Low
SEC-06,Moradabad,2026-08-31,Monday,21,5.2,Low
SEC-07,Firozpur,2026-08-31,Monday,23,3.2,High
SEC-08,Firozpur,2026-08-31,Monday,21,5.5,Low
SEC-01,Ambala,2026-09-01,Tuesday,0,1.6,Low
SEC-02,Ambala,2026-09-01,Tuesday,23,2.0,Low
SEC-03,Delhi,2026-09-01,Tuesday,1,3.1,High
SEC-04,Delhi,2026-09-01,Tuesday,0,4.7,Low
SEC-05,Moradabad,2026-09-01,Tuesday,23,2.8,Low
SEC-06,Moradabad,2026-09-01,Tuesday,1,5.6,Low
SEC-06,Moradabad,2026-09-01,Tuesday,0,4.5,Low
SEC-07,Firozpur,2026-09-01,Tuesday,22,3.4,Medium
SEC-08,Firozpur,2026-09-01,Tuesday,0,4.9,Low
SEC-01,Ambala,2026-09-02,Wednesday,23,2.6,Low
SEC-02,Ambala,2026-09-02,Wednesday,0,1.7,High
SEC-03,Delhi,2026-09-02,Wednesday,1,2.3,Low
SEC-04,Delhi,2026-09-02,Wednesday,23,2.3,Low
SEC-04,Delhi,2026-09-02,Wednesday,23,3.6,Low
SEC-06,Moradabad,2026-09-02,Wednesday,23,5.0,Low
SEC-02,Ambala,2026-09-03,Thursday,1,2.7,Medium
SEC-03,Delhi,2026-09-03,Thursday,22,2.3,Low
SEC-04,Delhi,2026-09-03,Thursday,21,2.2,Low
SEC-05,Moradabad,2026-09-03,Thursday,23,3.3,Medium
SEC-06,Moradabad,2026-09-03,Thursday,0,5.2,Medium
SEC-08,Firozpur,2026-09-03,Thursday,0,5.1,Low
SEC-01,Ambala,2026-09-04,Friday,23,3.4,Low
SEC-02,Ambala,2026-09-04,Friday,23,2.2,High
SEC-03,Delhi,2026-09-04,Friday,1,2.3,Medium
SEC-04,Delhi,2026-09-04,Friday,1,4.8,Low
SEC-05,Moradabad,2026-09-04,Friday,22,2.7,Low
SEC-07,Firozpur,2026-09-04,Friday,23,2.5,Low
SEC-08,Firozpur,2026-09-04,Friday,23,3.2,Medium
SEC-01,Ambala,2026-09-05,Saturday,22,1.6,High
SEC-02,Ambala,2026-09-05,Saturday,1,2.2,Medium
SEC-03,Delhi,2026-09-05,Saturday,1,3.2,Medium
SEC-04,Delhi,2026-09-05,Saturday,23,6.0,Medium
SEC-05,Moradabad,2026-09-05,Saturday,0,1.9,High
SEC-06,Moradabad,2026-09-05,Saturday,1,5.8,Low
SEC-06,Moradabad,2026-09-05,Saturday,21,3.5,Low
SEC-07,Firozpur,2026-09-05,Saturday,23,1.8,Low
SEC-08,Firozpur,2026-09-05,Saturday,2,3.1,Medium
SEC-08,Firozpur,2026-09-05,Saturday,0,5.5,Low
SEC-01,Ambala,2026-09-06,Sunday,0,3.4,Low
SEC-02,Ambala,2026-09-06,Sunday,23,2.0,Low
SEC-03,Delhi,2026-09-06,Sunday,22,2.2,Medium
SEC-04,Delhi,2026-09-06,Sunday,21,3.8,Low
SEC-05,Moradabad,2026-09-06,Sunday,1,3.3,Medium
SEC-06,Moradabad,2026-09-06,Sunday,2,2.8,Low
SEC-07,Firozpur,2026-09-06,Sunday,22,3.1,Low
SEC-08,Firozpur,2026-09-06,Sunday,0,2.6,High
SEC-01,Ambala,2026-09-07,Monday,22,2.4,Low
SEC-02,Ambala,2026-09-07,Monday,22,1.7,Low
SEC-03,Delhi,2026-09-07,Monday,22,2.2,High
SEC-04,Delhi,2026-09-07,Monday,22,2.9,Low
SEC-05,Moradabad,2026-09-07,Monday,1,3.0,High
SEC-06,Moradabad,2026-09-07,Monday,2,5.3,Low
SEC-07,Firozpur,2026-09-07,Monday,0,1.8,Low
SEC-01,Ambala,2026-09-08,Tuesday,22,3.2,Low
SEC-03,Delhi,2026-09-08,Tuesday,1,2.9,Low
SEC-04,Delhi,2026-09-08,Tuesday,22,4.9,Low
SEC-04,Delhi,2026-09-08,Tuesday,23,2.6,Low
SEC-05,Moradabad,2026-09-08,Tuesday,1,2.0,Low
SEC-06,Moradabad,2026-09-08,Tuesday,21,3.2,Low
SEC-07,Firozpur,2026-09-08,Tuesday,23,2.0,High
SEC-08,Firozpur,2026-09-08,Tuesday,21,4.5,Medium
SEC-01,Ambala,2026-09-09,Wednesday,23,2.3,High
SEC-02,Ambala,2026-09-09,Wednesday,23,3.1,Low
SEC-03,Delhi,2026-09-09,Wednesday,0,2.3,Low
SEC-04,Delhi,2026-09-09,Wednesday,23,5.3,Low
SEC-05,Moradabad,2026-09-09,Wednesday,23,2.2,Medium
SEC-06,Moradabad,2026-09-09,Wednesday,2,4.2,Low
SEC-07,Firozpur,2026-09-09,Wednesday,1,1.8,High
SEC-08,Firozpur,2026-09-09,Wednesday,1,5.6,Low
SEC-08,Firozpur,2026-09-09,Wednesday,2,2.1,Low
SEC-01,Ambala,2026-09-10,Thursday,1,1.7,Medium
SEC-02,Ambala,2026-09-10,Thursday,0,2.0,Medium
SEC-03,Delhi,2026-09-10,Thursday,1,1.5,Medium
SEC-04,Delhi,2026-09-10,Thursday,1,2.2,Low
SEC-06,Moradabad,2026-09-10,Thursday,22,2.3,Low
SEC-06,Moradabad,2026-09-10,Thursday,22,4.6,Medium
SEC-08,Firozpur,2026-09-10,Thursday,2,5.2,Medium
SEC-01,Ambala,2026-09-11,Friday,23,2.7,Low
SEC-02,Ambala,2026-09-11,Friday,0,3.3,Low
SEC-03,Delhi,2026-09-11,Friday,0,2.5,Low
SEC-04,Delhi,2026-09-11,Friday,22,4.1,Low
SEC-04,Delhi,2026-09-11,Friday,1,5.2,Low
SEC-05,Moradabad,2026-09-11,Friday,1,3.0,Low
SEC-06,Moradabad,2026-09-11,Friday,21,5.4,Low
SEC-06,Moradabad,2026-09-11,Friday,0,3.1,Low
SEC-07,Firozpur,2026-09-11,Friday,22,2.7,Low
SEC-08,Firozpur,2026-09-11,Friday,0,5.6,Low
SEC-01,Ambala,2026-09-12,Saturday,0,3.3,High
SEC-02,Ambala,2026-09-12,Saturday,0,2.7,Low
SEC-03,Delhi,2026-09-12,Saturday,1,2.7,Low
SEC-04,Delhi,2026-09-12,Saturday,1,2.5,Low
SEC-05,Moradabad,2026-09-12,Saturday,0,3.2,Low
SEC-06,Moradabad,2026-09-12,Saturday,22,2.4,Low
SEC-07,Firozpur,2026-09-12,Saturday,23,2.8,Medium
SEC-08,Firozpur,2026-09-12,Saturday,22,2.6,Low
SEC-01,Ambala,2026-09-13,Sunday,22,2.8,Medium
SEC-02,Ambala,2026-09-13,Sunday,1,2.0,Low
SEC-04,Delhi,2026-09-13,Sunday,21,4.9,Low
SEC-04,Delhi,2026-09-13,Sunday,23,4.1,Low
SEC-05,Moradabad,2026-09-13,Sunday,22,2.0,Low
SEC-06,Moradabad,2026-09-13,Sunday,21,2.1,Medium
SEC-07,Firozpur,2026-09-13,Sunday,0,1.6,Low
SEC-08,Firozpur,2026-09-13,Sunday,21,5.2,Low
SEC-01,Ambala,2026-09-14,Monday,1,2.0,Medium
SEC-02,Ambala,2026-09-14,Monday,1,3.5,Low
SEC-03,Delhi,2026-09-14,Monday,23,2.3,Low
SEC-04,Delhi,2026-09-14,Monday,21,4.0,Low
SEC-05,Moradabad,2026-09-14,Monday,0,2.5,Low
SEC-06,Moradabad,2026-09-14,Monday,0,3.5,Low
SEC-07,Firozpur,2026-09-14,Monday,0,3.1,Medium
SEC-08,Firozpur,2026-09-14,Monday,1,3.6,Low
SEC-01,Ambala,2026-09-15,Tuesday,23,1.8,Medium
SEC-02,Ambala,2026-09-15,Tuesday,1,3.2,Medium
SEC-03,Delhi,2026-09-15,Tuesday,1,3.2,Low
SEC-04,Delhi,2026-09-15,Tuesday,23,2.0,Low
SEC-05,Moradabad,2026-09-15,Tuesday,22,3.1,High
SEC-06,Moradabad,2026-09-15,Tuesday,22,2.2,Low
SEC-07,Firozpur,2026-09-15,Tuesday,0,1.8,Low
SEC-08,Firozpur,2026-09-15,Tuesday,22,5.3,Medium
SEC-08,Firozpur,2026-09-15,Tuesday,1,2.8,Low
SEC-01,Ambala,2026-09-16,Wednesday,22,3.2,Medium
SEC-04,Delhi,2026-09-16,Wednesday,1,3.2,Low
SEC-04,Delhi,2026-09-16,Wednesday,2,5.9,Low
SEC-05,Moradabad,2026-09-16,Wednesday,0,2.5,Low
SEC-06,Moradabad,2026-09-16,Wednesday,22,2.8,Low
SEC-07,Firozpur,2026-09-16,Wednesday,23,2.8,Low
SEC-08,Firozpur,2026-09-16,Wednesday,0,5.0,Low
SEC-08,Firozpur,2026-09-16,Wednesday,21,2.1,Medium
SEC-01,Ambala,2026-09-17,Thursday,0,3.4,Low
SEC-02,Ambala,2026-09-17,Thursday,22,1.8,Medium
SEC-03,Delhi,2026-09-17,Thursday,1,1.9,Low
SEC-04,Delhi,2026-09-17,Thursday,0,5.4,Low
SEC-06,Moradabad,2026-09-17,Thursday,0,5.1,Low
SEC-06,Moradabad,2026-09-17,Thursday,0,2.5,Low
SEC-07,Firozpur,2026-09-17,Thursday,1,2.6,Medium
SEC-08,Firozpur,2026-09-17,Thursday,21,3.3,Low
SEC-08,Firozpur,2026-09-17,Thursday,22,2.3,Low
SEC-01,Ambala,2026-09-18,Friday,0,2.2,Low
SEC-02,Ambala,2026-09-18,Friday,22,2.0,High
SEC-03,Delhi,2026-09-18,Friday,1,2.8,Low
SEC-04,Delhi,2026-09-18,Friday,21,4.1,Low
SEC-04,Delhi,2026-09-18,Friday,2,4.4,Low
SEC-05,Moradabad,2026-09-18,Friday,22,2.8,Medium
SEC-06,Moradabad,2026-09-18,Friday,1,3.5,High
SEC-06,Moradabad,2026-09-18,Friday,0,4.9,Medium
SEC-07,Firozpur,2026-09-18,Friday,1,3.0,Low
SEC-01,Ambala,2026-09-19,Saturday,23,2.7,Low
SEC-02,Ambala,2026-09-19,Saturday,1,3.1,Low
SEC-03,Delhi,2026-09-19,Saturday,22,1.9,Medium
SEC-04,Delhi,2026-09-19,Saturday,22,5.9,Low
SEC-04,Delhi,2026-09-19,Saturday,21,4.4,Low
SEC-05,Moradabad,2026-09-19,Saturday,22,3.3,Low
SEC-06,Moradabad,2026-09-19,Saturday,22,5.4,Low
SEC-07,Firozpur,2026-09-19,Saturday,0,1.6,Low
SEC-08,Firozpur,2026-09-19,Saturday,0,4.5,Low
SEC-01,Ambala,2026-09-20,Sunday,1,2.8,Low
SEC-03,Delhi,2026-09-20,Sunday,1,2.2,Low
SEC-04,Delhi,2026-09-20,Sunday,21,4.4,Low
SEC-04,Delhi,2026-09-20,Sunday,23,2.0,Low
SEC-05,Moradabad,2026-09-20,Sunday,22,2.1,Medium
SEC-06,Moradabad,2026-09-20,Sunday,0,5.4,Low
SEC-07,Firozpur,2026-09-20,Sunday,23,1.5,Low
SEC-08,Firozpur,2026-09-20,Sunday,21,4.4,Low
SEC-02,Ambala,2026-09-21,Monday,1,2.2,Low
SEC-03,Delhi,2026-09-21,Monday,1,3.1,Medium
SEC-04,Delhi,2026-09-21,Monday,0,3.9,Low
SEC-04,Delhi,2026-09-21,Monday,22,5.6,Medium
SEC-05,Moradabad,2026-09-21,Monday,1,1.9,Low
SEC-06,Moradabad,2026-09-21,Monday,1,3.9,Low
SEC-07,Firozpur,2026-09-21,Monday,0,2.9,Low
SEC-08,Firozpur,2026-09-21,Monday,0,4.2,Medium
SEC-01,Ambala,2026-09-22,Tuesday,22,1.9,Low
SEC-02,Ambala,2026-09-22,Tuesday,22,2.5,Medium
SEC-04,Delhi,2026-09-22,Tuesday,22,4.4,Low
SEC-05,Moradabad,2026-09-22,Tuesday,23,2.9,Medium
SEC-06,Moradabad,2026-09-22,Tuesday,2,5.8,Low
SEC-06,Moradabad,2026-09-22,Tuesday,2,2.5,Medium
SEC-07,Firozpur,2026-09-22,Tuesday,1,3.1,Low
SEC-08,Firozpur,2026-09-22,Tuesday,21,3.6,Low
SEC-01,Ambala,2026-09-23,Wednesday,1,2.4,Medium
SEC-02,Ambala,2026-09-23,Wednesday,22,2.8,Low
SEC-03,Delhi,2026-09-23,Wednesday,22,2.1,Low
SEC-04,Delhi,2026-09-23,Wednesday,21,2.8,Low
SEC-05,Moradabad,2026-09-23,Wednesday,23,2.4,Medium
SEC-06,Moradabad,2026-09-23,Wednesday,21,5.2,Low
SEC-07,Firozpur,2026-09-23,Wednesday,1,2.3,Low
SEC-08,Firozpur,2026-09-23,Wednesday,2,4.1,Low
SEC-01,Ambala,2026-09-24,Thursday,1,1.9,Medium
SEC-02,Ambala,2026-09-24,Thursday,22,1.6,Low
