asset_id,department,section_id,division,asset_type,defect_type,defect_severity,days_overdue,due_date,estimated_block_duration_hours,repeat_defect_count,sla_flag,asset_criticality_class,safety_risk_flag,priority_score,source_system
SIG-SEC-02-0090,Signal & Telecom,SEC-02,Ambala,Point Machine,Point Machine Failure,Critical,30,2026-07-30,3.2,1,True,Trunk Route,True,93.3,SMMS
TRK-SEC-01-0200,Engineering,SEC-01,Ambala,Rail,Rail Wear,Critical,35,2026-07-25,6.0,1,True,Trunk Route,True,93.3,TMS
TRK-SEC-07-0002,Engineering,SEC-07,Firozpur,Track Geometry,Track Geometry - Twist,Critical,19,2026-08-10,4.4,3,True,Trunk Route,True,92.7,TMS
SIG-SEC-06-0156,Signal & Telecom,SEC-06,Moradabad,Cable,Axle Counter Fault,Critical,19,2026-08-10,4.3,3,True,Trunk Route,True,92.7,SMMS
SIG-SEC-05-0035,Signal & Telecom,SEC-05,Moradabad,Interlocking,Cable Insulation Fault,Critical,18,2026-08-11,4.5,3,True,Trunk Route,True,92.0,SMMS
TRK-SEC-02-0187,Engineering,SEC-02,Ambala,Track Geometry,Weld Defect,Critical,35,2026-07-25,5.6,2,True,Branch Line,True,91.7,TMS
SIG-SEC-02-0015,Signal & Telecom,SEC-02,Ambala,Cable,Level Crossing Gate Fault,Critical,21,2026-08-08,4.2,2,True,Trunk Route,True,90.7,SMMS
SIG-SEC-08-0038,Signal & Telecom,SEC-08,Firozpur,Axle Counter,Point Machine Failure,Critical,26,2026-08-03,4.3,1,True,Trunk Route,True,90.7,SMMS
TRK-SEC-03-0165,Engineering,SEC-03,Delhi,Formation,Formation/Subgrade Defect,Critical,35,2026-07-25,5.1,0,True,Trunk Route,True,90.0,TMS
TRK-SEC-07-0196,Engineering,SEC-07,Firozpur,Formation,Weld Defect,Critical,40,2026-07-20,5.5,0,True,Trunk Route,True,90.0,TMS
TRK-SEC-06-0169,Engineering,SEC-06,Moradabad,Formation,Formation/Subgrade Defect,Critical,37,2026-07-23,6.1,0,True,Trunk Route,True,90.0,TMS
SIG-SEC-01-0174,Signal & Telecom,SEC-01,Ambala,Block Instrument,Point Machine Failure,Critical,14,2026-08-15,2.8,3,True,Trunk Route,True,89.3,SMMS
TRK-SEC-01-0204,Engineering,SEC-01,Ambala,Weld,Track Geometry - Unevenness,Critical,26,2026-08-03,4.5,2,True,Branch Line,True,89.0,TMS
TRK-SEC-01-0180,Engineering,SEC-01,Ambala,Track Geometry,Track Geometry - Unevenness,Critical,28,2026-08-01,4.9,0,True,Trunk Route,True,88.7,TMS
SIG-SEC-01-0093,Signal & Telecom,SEC-01,Ambala,Block Instrument,Point Machine Failure,Critical,13,2026-08-16,2.6,3,True,Trunk Route,True,88.7,SMMS
TRK-SEC-05-0076,Engineering,SEC-05,Moradabad,Formation,Weld Defect,Critical,23,2026-08-06,4.2,1,True,Trunk Route,True,88.7,TMS
TRK-SEC-08-0010,Engineering,SEC-08,Firozpur,Track Geometry,Rail Wear,Critical,40,2026-07-20,4.6,1,True,Branch Line,True,88.3,TMS
OHE-SEC-05-0088,Traction Distribution,SEC-05,Moradabad,OHE Wire,Dropper Defect,Critical,17,2026-08-12,4.3,2,True,Trunk Route,True,88.0,TDMS
OHE-SEC-08-0010,Traction Distribution,SEC-08,Firozpur,Traction Substation,Traction Substation Fault,Critical,21,2026-08-08,2.5,1,True,Trunk Route,True,87.3,TDMS
SIG-SEC-07-0092,Signal & Telecom,SEC-07,Firozpur,Block Instrument,Signal Aspect Failure,Critical,23,2026-08-06,5.9,2,True,Branch Line,True,87.0,SMMS
OHE-SEC-04-0068,Traction Distribution,SEC-04,Delhi,Earthing System,Insulator Damage,Critical,23,2026-08-06,2.9,2,True,Branch Line,True,87.0,TDMS
SIG-SEC-01-0012,Signal & Telecom,SEC-01,Ambala,Interlocking,Block Instrument Fault,Critical,23,2026-08-06,2.8,2,True,Branch Line,True,87.0,SMMS
OHE-SEC-06-0089,Traction Distribution,SEC-06,Moradabad,Dropper,Dropper Defect,Critical,25,2026-08-04,2.8,0,True,Trunk Route,True,86.7,TDMS
OHE-SEC-05-0123,Traction Distribution,SEC-05,Moradabad,OHE Wire,Insulator Damage,Critical,22,2026-08-07,4.9,2,True,Branch Line,True,86.3,TDMS
TRK-SEC-04-0021,Engineering,SEC-04,Delhi,Rail,Weld Defect,Critical,27,2026-08-02,6.6,1,True,Branch Line,True,86.3,TMS
SIG-SEC-08-0172,Signal & Telecom,SEC-08,Firozpur,Level Crossing Gate,Level Crossing Gate Fault,Critical,23,2026-08-06,5.3,0,True,Trunk Route,True,85.3,SMMS
SIG-SEC-07-0096,Signal & Telecom,SEC-07,Firozpur,Point Machine,Point Machine Failure,Critical,30,2026-07-30,2.1,0,True,Branch Line,True,85.0,SMMS
TRK-SEC-08-0058,Engineering,SEC-08,Firozpur,Weld,Rail Fracture,Critical,30,2026-07-30,5.3,0,True,Branch Line,True,85.0,TMS
OHE-SEC-02-0035,Traction Distribution,SEC-02,Ambala,Traction Substation,Traction Substation Fault,Critical,25,2026-08-04,4.4,1,True,Branch Line,True,85.0,TDMS
TRK-SEC-05-0167,Engineering,SEC-05,Moradabad,Track Geometry,Rail Fracture,Critical,34,2026-07-26,5.0,0,True,Branch Line,True,85.0,TMS
OHE-SEC-02-0152,Traction Distribution,SEC-02,Ambala,Feeder,Dropper Defect,Critical,17,2026-08-12,4.6,1,True,Trunk Route,True,84.7,TDMS
TRK-SEC-02-0135,Engineering,SEC-02,Ambala,Formation,Rail Wear,Critical,6,2026-08-23,6.5,3,True,Trunk Route,True,84.0,TMS
SIG-SEC-08-0039,Signal & Telecom,SEC-08,Firozpur,Point Machine,Relay Failure,Critical,28,2026-08-01,2.1,0,True,Branch Line,True,83.7,SMMS
OHE-SEC-03-0065,Traction Distribution,SEC-03,Delhi,OHE Wire,Traction Substation Fault,Critical,20,2026-08-09,4.1,0,True,Trunk Route,True,83.3,TDMS
SIG-SEC-04-0065,Signal & Telecom,SEC-04,Delhi,Level Crossing Gate,Point Machine Failure,Critical,15,2026-08-14,3.2,1,True,Trunk Route,True,83.3,SMMS
TRK-SEC-08-0051,Engineering,SEC-08,Firozpur,Track Geometry,Ballast Deficiency,Critical,12,2026-08-17,5.0,3,True,Branch Line,True,83.0,TMS
SIG-SEC-04-0121,Signal & Telecom,SEC-04,Delhi,Level Crossing Gate,Block Instrument Fault,Critical,22,2026-08-07,4.2,1,True,Branch Line,True,83.0,SMMS
TRK-SEC-08-0178,Engineering,SEC-08,Firozpur,Ballast,Rail Fracture,Critical,27,2026-08-02,7.5,0,True,Branch Line,True,83.0,TMS
OHE-SEC-01-0029,Traction Distribution,SEC-01,Ambala,Dropper,Dropper Defect,Critical,22,2026-08-07,3.9,1,True,Branch Line,True,83.0,TDMS
SIG-SEC-04-0081,Signal & Telecom,SEC-04,Delhi,Cable,Signal Aspect Failure,Critical,14,2026-08-15,5.6,1,True,Trunk Route,True,82.7,SMMS
TRK-SEC-02-0001,Engineering,SEC-02,Ambala,Track Geometry,Weld Defect,Critical,19,2026-08-10,5.1,0,True,Trunk Route,True,82.7,TMS
OHE-SEC-08-0095,Traction Distribution,SEC-08,Firozpur,OHE Wire,Earthing Fault,Critical,19,2026-08-10,4.9,0,True,Trunk Route,True,82.7,TDMS
TRK-SEC-06-0133,Engineering,SEC-06,Moradabad,Track Geometry,Gauge Widening,Critical,19,2026-08-10,5.1,0,True,Trunk Route,True,82.7,TMS
SIG-SEC-07-0008,Signal & Telecom,SEC-07,Firozpur,Point Machine,Point Machine Failure,Critical,21,2026-08-08,5.9,1,True,Branch Line,True,82.3,SMMS
OHE-SEC-06-0071,Traction Distribution,SEC-06,Moradabad,Dropper,Tension Length Deviation,Critical,14,2026-08-15,3.3,2,True,Branch Line,True,81.0,TDMS
