block_id,section_id,division,window_date,coa_window_start,coa_window_end,block_start_time,block_end_time,traffic_load,available_minutes,scheduled_minutes,block_utilization,task_count,bundled_departments,bundled_department_count,internal_idle_minutes
COA-SEC-03-20260829-0000-0001,SEC-03,Delhi,2026-08-29,2026-08-29 00:00:00,2026-08-29 02:06:00,2026-08-29 00:00:00,2026-08-29 01:42:00,Low,126,102,0.8095,1,Traction Distribution,1,0
COA-SEC-04-20260829-0000-0002,SEC-04,Delhi,2026-08-29,2026-08-29 00:00:00,2026-08-29 05:36:00,2026-08-29 00:00:00,2026-08-29 05:00:00,Low,336,300,0.8929,2,Signal & Telecom,1,0
COA-SEC-04-20260829-0200-0003,SEC-04,Delhi,2026-08-29,2026-08-29 02:00:00,2026-08-29 07:12:00,2026-08-29 05:00:00,2026-08-29 07:06:00,Low,312,126,0.4038,2,Signal & Telecom|Traction Distribution,2,180
COA-SEC-02-20260830-0100-0009,SEC-02,Ambala,2026-08-30,2026-08-30 01:00:00,2026-08-30 03:12:00,2026-08-30 01:00:00,2026-08-30 03:00:00,Medium,132,120,0.9091,2,Signal & Telecom|Traction Distribution,2,0
COA-SEC-04-20260830-0200-0010,SEC-04,Delhi,2026-08-30,2026-08-30 02:00:00,2026-08-30 04:48:00,2026-08-30 02:00:00,2026-08-30 04:36:00,Low,168,156,0.9286,1,Traction Distribution,1,0
COA-SEC-07-20260830-2200-0013,SEC-07,Firozpur,2026-08-30,2026-08-30 22:00:00,2026-08-31 00:06:00,2026-08-30 22:00:00,2026-08-30 23:48:00,Low,126,108,0.8571,1,Engineering,1,0
COA-SEC-02-20260831-2200-0015,SEC-02,Ambala,2026-08-31,2026-08-31 22:00:00,2026-09-01 00:42:00,2026-08-31 22:00:00,2026-09-01 00:30:00,Low,162,150,0.9259,2,Engineering|Signal & Telecom,2,1
COA-SEC-04-20260831-2100-0017,SEC-04,Delhi,2026-08-31,2026-08-31 21:00:00,2026-08-31 23:06:00,2026-08-31 21:00:00,2026-08-31 22:54:00,High,126,114,0.9048,1,Signal & Telecom,1,0
COA-SEC-06-20260831-2100-0020,SEC-06,Moradabad,2026-08-31,2026-08-31 21:00:00,2026-09-01 02:12:00,2026-08-31 21:00:00,2026-09-01 02:06:00,Low,312,306,0.9808,1,Engineering,1,0
COA-SEC-07-20260831-2300-0021,SEC-07,Firozpur,2026-08-31,2026-08-31 23:00:00,2026-09-01 02:12:00,2026-08-31 23:00:00,2026-09-01 01:48:00,High,192,168,0.875,1,Engineering,1,1
