block_id,section_id,division,window_date,coa_window_start,coa_window_end,block_start_time,block_end_time,task_start_time,task_end_time,asset_id,department,duration_hours,priority_score,due_date,lateness_days,traffic_load,block_utilization,bundled_departments,bundled_department_count,source_system
COA-SEC-03-20260829-0000-0001,SEC-03,Delhi,2026-08-29,2026-08-29 00:00:00,2026-08-29 02:06:00,2026-08-29 00:00:00,2026-08-29 01:42:00,2026-08-29 00:00:00,2026-08-29 01:42:00,OHE-SEC-03-0061,Traction Distribution,1.7,47.8,2026-09-02,0,Low,0.8095,Traction Distribution,1,TDMS
COA-SEC-04-20260829-0000-0002,SEC-04,Delhi,2026-08-29,2026-08-29 00:00:00,2026-08-29 05:36:00,2026-08-29 00:00:00,2026-08-29 05:00:00,2026-08-29 00:00:00,2026-08-29 04:12:00,SIG-SEC-04-0121,Signal & Telecom,4.2,82.99,2026-08-07,22,Low,0.8929,Signal & Telecom,1,SMMS
COA-SEC-04-20260829-0000-0002,SEC-04,Delhi,2026-08-29,2026-08-29 00:00:00,2026-08-29 05:36:00,2026-08-29 00:00:00,2026-08-29 05:00:00,2026-08-29 04:12:00,2026-08-29 05:00:00,SIG-SEC-04-0130,Signal & Telecom,0.8,24.05,2026-08-19,10,Low,0.8929,Signal & Telecom,1,SMMS
COA-SEC-04-20260829-0200-0003,SEC-04,Delhi,2026-08-29,2026-08-29 02:00:00,2026-08-29 07:12:00,2026-08-29 05:00:00,2026-08-29 07:06:00,2026-08-29 05:00:00,2026-08-29 06:06:00,OHE-SEC-04-0081,Traction Distribution,1.1,41.38,2026-08-14,15,Low,0.4038,Signal & Telecom|Traction Distribution,2,TDMS
COA-SEC-04-20260829-0200-0003,SEC-04,Delhi,2026-08-29,2026-08-29 02:00:00,2026-08-29 07:12:00,2026-08-29 05:00:00,2026-08-29 07:06:00,2026-08-29 06:06:00,2026-08-29 07:06:00,SIG-SEC-04-0087,Signal & Telecom,1.0,24.04,2026-08-19,10,Low,0.4038,Signal & Telecom|Traction Distribution,2,SMMS
COA-SEC-02-20260830-0100-0009,SEC-02,Ambala,2026-08-30,2026-08-30 01:00:00,2026-08-30 03:12:00,2026-08-30 01:00:00,2026-08-30 03:00:00,2026-08-30 01:00:00,2026-08-30 02:06:00,SIG-SEC-02-0083,Signal & Telecom,1.1,42.68,2026-08-22,8,Medium,0.9091,Signal & Telecom|Traction Distribution,2,SMMS
COA-SEC-02-20260830-0100-0009,SEC-02,Ambala,2026-08-30,2026-08-30 01:00:00,2026-08-30 03:12:00,2026-08-30 01:00:00,2026-08-30 03:00:00,2026-08-30 02:06:00,2026-08-30 03:00:00,OHE-SEC-02-0085,Traction Distribution,0.9,16.58,2026-08-23,7,Medium,0.9091,Signal & Telecom|Traction Distribution,2,TDMS
COA-SEC-04-20260830-0200-0010,SEC-04,Delhi,2026-08-30,2026-08-30 02:00:00,2026-08-30 04:48:00,2026-08-30 02:00:00,2026-08-30 04:36:00,2026-08-30 02:00:00,2026-08-30 04:36:00,OHE-SEC-04-0134,Traction Distribution,2.6,59.7,2026-08-16,14,Low,0.9286,Traction Distribution,1,TDMS
COA-SEC-07-20260830-2200-0013,SEC-07,Firozpur,2026-08-30,2026-08-30 22:00:00,2026-08-31 00:06:00,2026-08-30 22:00:00,2026-08-30 23:48:00,2026-08-30 22:00:00,2026-08-30 23:48:00,TRK-SEC-07-0012,Engineering,1.8,25.2,2026-08-25,6,Low,0.8571,Engineering,1,TMS
COA-SEC-02-20260831-2200-0015,SEC-02,Ambala,2026-08-31,2026-08-31 22:00:00,2026-09-01 00:42:00,2026-08-31 22:00:00,2026-09-01 00:30:00,2026-08-31 22:00:00,2026-08-31 23:18:00,SIG-SEC-02-0003,Signal & Telecom,1.3,35.31,2026-08-18,14,Low,0.9259,Engineering|Signal & Telecom,2,SMMS
COA-SEC-02-20260831-2200-0015,SEC-02,Ambala,2026-08-31,2026-08-31 22:00:00,2026-09-01 00:42:00,2026-08-31 22:00:00,2026-09-01 00:30:00,2026-08-31 23:18:00,2026-09-01 00:30:00,TRK-SEC-02-0176,Engineering,1.2,20.51,2026-08-25,7,Low,0.9259,Engineering|Signal & Telecom,2,TMS
COA-SEC-04-20260831-2100-0017,SEC-04,Delhi,2026-08-31,2026-08-31 21:00:00,2026-08-31 23:06:00,2026-08-31 21:00:00,2026-08-31 22:54:00,2026-08-31 21:00:00,2026-08-31 22:54:00,SIG-SEC-04-0155,Signal & Telecom,1.9,23.16,2026-08-29,2,High,0.9048,Signal & Telecom,1,SMMS
COA-SEC-06-20260831-2100-0020,SEC-06,Moradabad,2026-08-31,2026-08-31 21:00:00,2026-09-01 02:12:00,2026-08-31 21:00:00,2026-09-01 02:06:00,2026-08-31 21:00:00,2026-09-01 02:06:00,TRK-SEC-06-0133,Engineering,5.1,83.16,2026-08-10,22,Low,0.9808,Engineering,1,TMS
COA-SEC-07-20260831-2300-0021,SEC-07,Firozpur,2026-08-31,2026-08-31 23:00:00,2026-09-01 02:12:00,2026-08-31 23:00:00,2026-09-01 01:48:00,2026-08-31 23:00:00,2026-09-01 01:48:00,TRK-SEC-07-0129,Engineering,2.8,33.07,2026-08-30,2,High,0.875,Engineering,1,TMS
