asset_id,department,section_id,division,due_date,duration_hours,priority_score,unscheduled_reason
TRK-SEC-01-0200,Engineering,SEC-01,Ambala,2026-07-25,6.0,93.53,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-07-0002,Engineering,SEC-07,Firozpur,2026-08-10,4.4,92.65,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-06-0156,Signal & Telecom,SEC-06,Moradabad,2026-08-10,4.3,92.58,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-05-0035,Signal & Telecom,SEC-05,Moradabad,2026-08-11,4.5,92.09,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-02-0187,Engineering,SEC-02,Ambala,2026-07-25,5.6,91.61,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-02-0015,Signal & Telecom,SEC-02,Ambala,2026-08-08,4.2,90.83,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-08-0038,Signal & Telecom,SEC-08,Firozpur,2026-08-03,4.3,90.75,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-06-0169,Engineering,SEC-06,Moradabad,2026-07-23,6.1,90.01,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-07-0196,Engineering,SEC-07,Firozpur,2026-07-20,5.5,90.01,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-03-0165,Engineering,SEC-03,Delhi,2026-07-25,5.1,89.93,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-08-0010,Engineering,SEC-08,Firozpur,2026-07-20,4.6,89.75,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-01-0174,Signal & Telecom,SEC-01,Ambala,2026-08-15,2.8,89.29,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-01-0204,Engineering,SEC-01,Ambala,2026-08-03,4.5,88.94,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-05-0088,Traction Distribution,SEC-05,Moradabad,2026-08-12,4.3,88.91,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-01-0180,Engineering,SEC-01,Ambala,2026-08-01,4.9,88.65,"Matching COA windows exist, but all are shorter than task duration"
TRK-SEC-05-0076,Engineering,SEC-05,Moradabad,2026-08-06,4.2,87.42,"Matching COA windows exist, but all are shorter than task duration"
OHE-SEC-08-0010,Traction Distribution,SEC-08,Firozpur,2026-08-08,2.5,87.27,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
SIG-SEC-07-0092,Signal & Telecom,SEC-07,Firozpur,2026-08-06,5.9,87.02,"Matching COA windows exist, but all are shorter than task duration"
SIG-SEC-01-0012,Signal & Telecom,SEC-01,Ambala,2026-08-06,2.8,87.02,Not selected in best feasible solution found within time limit; solver_status=FEASIBLE
TRK-SEC-04-0021,Engineering,SEC-04,Delhi,2026-08-02,6.6,86.37,"Matching COA windows exist, but all are shorter than task duration"
