asset_id,department,section_id,division,asset_type,defect_type,defect_severity,days_overdue,due_date,estimated_block_duration_hours,repeat_defect_count,sla_flag,asset_criticality_class,safety_risk_flag,priority_score
TRK-SEC-02-0001,Engineering,SEC-02,Ambala,Track Geometry,Weld Defect,Critical,19,2026-08-10,5.1,0,True,Trunk Route,True,82.7
TRK-SEC-07-0002,Engineering,SEC-07,Firozpur,Track Geometry,Track Geometry - Twist,Critical,19,2026-08-10,4.4,3,True,Trunk Route,True,92.7
TRK-SEC-07-0003,Engineering,SEC-07,Firozpur,Ballast,Gauge Widening,Major,20,2026-08-09,3.8,1,False,Trunk Route,False,44.7
TRK-SEC-03-0004,Engineering,SEC-03,Delhi,Ballast,Gauge Widening,Major,-2,2026-08-31,4.3,1,False,Trunk Route,True,51.3
TRK-SEC-01-0005,Engineering,SEC-01,Ambala,Track Geometry,Ballast Deficiency,Minor,-3,2026-09-01,2.1,0,False,Branch Line,False,12.5
TRK-SEC-04-0006,Engineering,SEC-04,Delhi,Rail,Rail Wear,Minor,-8,2026-09-06,1.1,0,False,Trunk Route,False,17.5
TRK-SEC-05-0007,Engineering,SEC-05,Moradabad,Rail,Track Geometry - Unevenness,Major,0,2026-08-29,4.5,0,False,Trunk Route,False,28.0
TRK-SEC-04-0008,Engineering,SEC-04,Delhi,Rail,Track Geometry - Twist,Major,15,2026-08-14,3.1,2,False,Trunk Route,False,44.7
TRK-SEC-01-0009,Engineering,SEC-01,Ambala,Formation,Rail Wear,Minor,-13,2026-09-11,1.8,1,False,Branch Line,False,15.8
TRK-SEC-08-0010,Engineering,SEC-08,Firozpur,Track Geometry,Rail Wear,Critical,40,2026-07-20,4.6,1,True,Branch Line,True,88.3
TRK-SEC-06-0011,Engineering,SEC-06,Moradabad,Weld,Track Geometry - Unevenness,Major,11,2026-08-18,5.0,0,False,Trunk Route,False,35.3
TRK-SEC-07-0012,Engineering,SEC-07,Firozpur,Rail,Weld Defect,Minor,4,2026-08-25,1.8,3,False,Branch Line,False,25.2
TRK-SEC-05-0013,Engineering,SEC-05,Moradabad,Ballast,Track Geometry - Unevenness,Minor,-6,2026-09-04,1.7,2,True,Branch Line,False,29.2
TRK-SEC-02-0014,Engineering,SEC-02,Ambala,Weld,Rail Fracture,Minor,5,2026-08-24,1.6,0,False,Trunk Route,False,20.8
TRK-SEC-06-0015,Engineering,SEC-06,Moradabad,Weld,Weld Defect,Major,6,2026-08-23,2.3,0,False,Branch Line,False,27.0
TRK-SEC-02-0016,Engineering,SEC-02,Ambala,Formation,Track Geometry - Unevenness,Minor,9,2026-08-20,2.6,0,False,Trunk Route,False,23.5
TRK-SEC-05-0017,Engineering,SEC-05,Moradabad,Formation,Ballast Deficiency,Minor,-9,2026-09-07,2.2,0,False,Trunk Route,False,17.5
